cycle,state,district,block,village,n_High,n_Low,n_Medium,p_High,p_Low,p_Medium,k_High,k_Low,k_Medium,S_Sufficient,S_Deficient,OC_High,OC_Low,OC_Medium,pH_Alkaline,pH_Acidic,pH_Neutral,EC_Saline,EC_NonSaline,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
2023-24,ANDHRA PRADESH,ANANTAPUR,GARLADINNE - 4702,Penakacherla,0,9,0,9,0,0,6,0,3,9,0,0,8,1,0,0,9,0,9,5,4,5,4,9,0,7,2,9,0
2023-24,ANDHRA PRADESH,ANANTAPUR,GARLADINNE - 4702,Kalluru,0,32,2,30,0,4,19,0,15,33,1,0,34,0,1,0,33,1,33,21,13,5,29,33,1,23,11,33,1
2023-24,ANDHRA PRADESH,ANANTAPUR,GARLADINNE - 4702,Kesavapuram,0,2,0,2,0,0,2,0,0,2,0,0,1,1,0,0,2,0,2,2,0,0,2,2,0,2,0,2,0
2023-24,ANDHRA PRADESH,ANANTAPUR,GARLADINNE - 4702,Garladinne,0,30,0,26,0,4,23,1,6,30,0,0,29,1,0,0,30,0,30,17,13,23,7,30,0,22,8,30,0
2023-24,ANDHRA PRADESH,ANANTAPUR,GARLADINNE - 4702,Koppalakonda,0,27,1,24,0,4,23,2,3,27,1,1,26,1,2,0,26,0,28,20,8,15,13,28,0,25,3,28,0
2023-24,ANDHRA PRADESH,ANANTAPUR,GARLADINNE - 4702,Illuru,0,12,0,11,0,1,3,0,9,12,0,0,12,0,0,0,12,0,12,9,3,7,5,12,0,8,4,12,0
2023-24,ANDHRA PRADESH,ANANTAPUR,GARLADINNE - 4702,Jambuladinne,0,45,0,40,0,5,21,1,23,45,0,0,42,3,1,0,44,1,44,27,18,13,32,45,0,38,7,45,0
2023-24,ANDHRA PRADESH,ANANTAPUR,GARLADINNE - 4702,Budedu,0,23,1,23,0,1,15,0,9,24,0,0,24,0,0,0,24,0,24,15,9,15,9,24,0,16,8,24,0
2023-24,ANDHRA PRADESH,ANANTAPUR,GARLADINNE - 4702,Kanampalle,0,24,1,22,0,3,12,0,13,25,0,0,25,0,0,0,25,0,25,14,11,4,21,25,0,23,2,25,0
2023-24,ANDHRA PRADESH,ANANTAPUR,GARLADINNE - 4702,Krishnapuram,0,13,0,7,0,6,7,0,6,13,0,0,13,0,0,0,13,0,13,11,2,5,8,13,0,11,2,13,0
2023-24,ANDHRA PRADESH,ANANTAPUR,GARLADINNE - 4702,Kotanka,0,21,1,18,0,4,8,0,14,22,0,0,22,0,0,0,22,0,22,13,9,13,9,22,0,17,5,22,0
2023-24,ANDHRA PRADESH,ANANTAPUR,GARLADINNE - 4702,Sirivaram,0,17,0,14,0,3,8,1,8,17,0,0,17,0,0,0,17,0,17,15,2,8,9,17,0,15,2,17,0
2023-24,ANDHRA PRADESH,ANANTAPUR,GARLADINNE - 4702,Yerraguntla,0,26,2,18,0,10,12,2,14,28,0,0,27,1,1,0,27,0,28,20,8,22,6,28,0,21,7,28,0
2023-24,ANDHRA PRADESH,ANANTAPUR,GARLADINNE - 4702,Marthadu,0,28,0,24,0,4,24,0,4,28,0,0,28,0,0,0,28,0,28,3,25,14,14,28,0,19,9,26,2
2023-24,ANDHRA PRADESH,ANANTAPUR,GARLADINNE - 4702,Obulapuram,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0
2023-24,ANDHRA PRADESH,ANANTAPUR,GARLADINNE - 4702,Kalluru Agraharam,0,8,2,8,0,2,6,0,4,10,0,0,10,0,0,0,10,0,10,7,3,4,6,10,0,6,4,10,0
